document_name,sentence,label
04-Landscape-Living-Policy-Areas.txt,REGIONALSTRATEGYPLAN - LANDSCAPELIVINGPOLICYAREAS  the retention of remnant native vegetation and the long term conservation of anySites of Natural Significance and/or Sites of Cultural Significance affecting theland; and  the capacity of any land subject to land instability to be reasonably and safely usedforcontrolledandlimiteddevelopment.,
04-Landscape-Living-Policy-Areas.txt,"This helps to avoid any expectations of a more complete range of services or of furtherurbanexpansionwhicha""Township""designationmight suggest.",
04-Landscape-Living-Policy-Areas.txt,"Subdivision management Any lot created by subdivision, (excluding lots created to provide for a Council, Public Authority or Government purpose) must comprise land which has at least 40% of its areathat is:  not subject toslopes of20%orgreater;  not withinafloodplainmanagement area; or  not subject to land instability, except where it can reasonably and safely be used forcontrolledandlimiteddevelopment.",
04-Landscape-Living-Policy-Areas.txt, Minimise adverse visual and other impacts associated with the use and development oflandwithinthesepolicyareas.,
04-Landscape-Living-Policy-Areas.txt," Where the land is an area identified as having a high risk of wildfire hazard, appropriate building design measures will be required to be undertaken to provideanacceptablelevel ofprotection.",
04-Landscape-Living-Policy-Areas.txt,REGIONALSTRATEGYPLAN - LANDSCAPELIVINGPOLICYAREAS 4.,
04-Landscape-Living-Policy-Areas.txt,4.09 Subdivision policies for Landscape Living Policy Areas Subdivision in Landscape Living Policy Areas must be managed in accordance with the PrimaryPurposeforeachPolicyArea.,
04-Landscape-Living-Policy-Areas.txt,"Except for the provision of a dependent relative unit, onlyone house maybe allowed on anylot ortenement holding(whereit applies).",
04-Landscape-Living-Policy-Areas.txt,"In any subdivision, access roads and development envelopes must be located so that minimum earthworks are required, dominant landscape features such as ridgelines are free of development, and the maintenance of Sites of Natural Significance and Sites of Cultural Significanceis not jeopardised 4.10 Other policies applying to Landscape Living Policy Areas In addition to the policies contained within this chapter, Township Policy Areas may also beaffectedbypolicies applyingto:  PublicLand  Management ofSites ofNatural SignificanceandofNativeVegetation  Management ofSites ofCultural Significance  PuffingBillyRailwayScenicCorridor  FloodplainManagement Areas; Special StudyAreas  HumanServices  Commercial Centres  ManufacturingandIndustry  Extractiveindustry,Mining&Soil Removal  RecreationandTourism  WaterResources  ServiceNetworks  Transport  FireManagement;  ScheduleOne-StatePlanningPolicies fortheRegion  Schedule Five - List of Environmental Weeds for the Upper Yarra Valley & DandenongRanges Region  Schedule Six - Exemptions to the policies or provisions under the Regional StrategyPlan.",
04-Landscape-Living-Policy-Areas.txt,"The area is used predominantlyfor low-densityresidential living, recreation and tourism activities, together with associated retail and commercial uses, usually found in the hamlets scattered along the Mt.",
04-Landscape-Living-Policy-Areas.txt,"4.08 Landscape protection The protection, maintenance and enhancement of landscapes and landscape character in LandscapeLivingPolicyAreas must beensured.",
04-Landscape-Living-Policy-Areas.txt,"Landscape Living 2 Policy Area Overview These areas have been substantially or even completely subdivided and built upon, and have characteristics and densities similar to Township Policy Areas.",
04-Landscape-Living-Policy-Areas.txt, Development will not jeopardise the maintenance of any Site of Natural SignificanceorSiteofCultural significance.,
04-Landscape-Living-Policy-Areas.txt,"Landscape Living 1 Policy Area Overview Most of the land in Landscape Living 1 Policy Area is in the Dandenong Ranges and in scattered localities in the southern foothills, generally following the Belgrave- Gembrookcorridor.",
04-Landscape-Living-Policy-Areas.txt," The land is not subject to constraints to development, such as land instability, land liable to flooding or land with slopes of 20% or greater (unless where slopes are greater than 20%, information has been provided that demonstrates that soil erosion will be minimised, landscape characteristics are protected or enhanced and the development and access to it can be appropriately located and land instabilitywill beminimised).",
04-Landscape-Living-Policy-Areas.txt,REGIONALSTRATEGYPLAN - LANDSCAPELIVINGPOLICYAREAS Primary purpose The primary purpose of the Landscape Living Buffer Policy Area is to provide an attractive and well serviced rural-residential buffer between urban and rural land use in theLilydaleareaandtoprevent furtherintrusionofurbandevelopment intorural areas.,
04-Landscape-Living-Policy-Areas.txt, Providetheopportunityforlimitedunobtrusivetourist accommodation.,
04-Landscape-Living-Policy-Areas.txt,"LANDSCAPE LIVING POLICY AREAS 4.01 Regional Overview The major concentrations of the land in these Policy Areas are in the Dandenong Ranges, around the township of Healesville and in a few areas along the Warburton Highway.",
04-Landscape-Living-Policy-Areas.txt, Maintain the distinct non-commercial areas between townships given the importance of retaining well defined and compact townships throughout the Shire.,
04-Landscape-Living-Policy-Areas.txt," The purpose of the subdivision is to re-align a common boundary between two existing lots, where no additional lots will be created and where the re- alignment does not allow an increase in the number of houses that could be constructed on the land beyond that permitted by the planning scheme prior to thesubdivisiontakingplace.",
04-Landscape-Living-Policy-Areas.txt,"In the consideration, or carrying out, of any uses and developments, it must be ensured that:  visual and environmental values of landscapes in Landscape LivingPolicyAreas arefullyrecognised,protectedandwherenecessaryenhanced;  all development is located so that it avoids prominent ridgelines, hill tops and visuallyexposedvalleys;  consideration is given to the use of non reflective surfaces or screen planting, and that the development is adequately set back from road frontages and access ways;  all development is designed and sited in a manner complementaryto its location, and compatible with maintenance of character of the Landscape Living Policy Areas;  all roads and access tracks are located, designed, constructed and landscaped in the manner compatible with maintenance of landscape values and character, and minimisationofsoil erosion;  all land use and development is managedandcontrolledtomaintainandenhance the visual amenity and the quality along the main roads and other access routes, andthat ribbondevelopment alongtheroads is strictlycontrolled,and  all use and development of land within landscapes ""Classified"" and ""Recorded"" by the National Trust of Australia (Victoria) as delineated by Map Series 10, must be carried out in a manner that is compatible with protection, maintenance and,wherepossible,enhancement ofthelandscapecharacteroftheseareas.",
04-Landscape-Living-Policy-Areas.txt,"The second includes land which has been selected in strategic locations to provide a buffer between the urban areas of Lilydale and adjoining rural land, and to prevent further intrusion of incompatible activities into the rural environment.",
04-Landscape-Living-Policy-Areas.txt,"REGIONALSTRATEGYPLAN - LANDSCAPELIVINGPOLICYAREAS surrounding landscape, and which provides opportunities for protecting remnant indigenous vegetationandnatural habitat; and  demonstrates that any house or building requiring utility services are able to be provided with such services in a manner that will not have an adverse impact on theenvironment orlandscapeofthearea.",
04-Landscape-Living-Policy-Areas.txt,The Urban Growth Boundary has also been applied to some Landscape Living Policy Areas that have urban characteristics.,
04-Landscape-Living-Policy-Areas.txt,"Landscape Living Policies have been applied to four policy areas, which comprise the land with similar physical and environmental characteristics, with a common element beinglowdensityresidential landuse.",
04-Landscape-Living-Policy-Areas.txt,REGIONALSTRATEGYPLAN - LANDSCAPELIVINGPOLICYAREAS  Clearingofnativevegetationis minimised.,
04-Landscape-Living-Policy-Areas.txt," Services such as constructed roads, reticulated water supply and reticulated sewerage are available, without additional substantial costs to Council and servicing authorities and the provision of these and other utility services will haveminimal impact ontheenvironment orlandscapeofthearea.",
04-Landscape-Living-Policy-Areas.txt,"They are excluded from Township PolicyAreas because of their limited size (which restricts their abilityto support township type services),and their separation or isolation from Township Policy Areas.",
04-Landscape-Living-Policy-Areas.txt,"Development within Landscape Living Policy Areas may only occur on land (within a designateddevelopment envelope)which:  is not subject to excessive slopes (that is a slope greater than 20%), without proper regard being given to appropriate measures to ensure that soil erosion does not occur;  is not within a floodplain management area (except as allowed under Policy 10.02);  if subject to land instability, can reasonablyand safelybe used for controlled and limiteddevelopment;  is not within an area identified as having a high risk from wildfire, unless it has been shown that appropriate measures have been undertaken, to provide an acceptablelevel ofprotectiontothebuildingfrom wildfirerisk;  is of sufficient size, should there be no reticulated sewerage to which the building can be connected, to enable proper on-site treatment of all wastes generated in the building and the disposal on-site of the effluent from the treatment;  enables all buildings and their waste treatment and effluent disposal systems to be located at least 30 metres from any watercourse to avoid any adverse effects on water quality and streamside vegetation (this distance may be reduced to 10 metres where the land is too small to provide a 30 metre setback and the responsible authority is satisfied that the development and anywaste water from it will not adverselyeffect thewatercourse); (Am 75)  enables proper consideration to be given to the type of construction (external materials in particular) andthelocationofthebuildings andtheirancillaryworks (such as driveways and access roads), in a manner that avoids intrusion into the 19.",
04-Landscape-Living-Policy-Areas.txt,The policyarea is generallyconfined to poorer agricultural land.,
04-Landscape-Living-Policy-Areas.txt," Provide, in appropriate locations, for a buffer between urban development and the broadscale agricultural areas of the Region, particularly in the vicinity of Lilydale.",
04-Landscape-Living-Policy-Areas.txt,Evelyn and the Narre WarrenEast area.,
04-Landscape-Living-Policy-Areas.txt,"This includes the settlements of Wesburn, Millgrove and Launching Place.",
05-Rural-Policy-Areas.txt,"Within Rural Policy Areas subdivision may be allowed and planning schemes may provide for a variety of subdivision techniques, including minimum lot controls, a densitycontrol andadensitymatrix technique.",
05-Rural-Policy-Areas.txt,"5.13 Agroforestry Agroforestry using suitable native timber species and in association with agricultural production, may be allowed and is to be encouraged on land already cleared of native vegetationand/orondegradedandpreviouslyloggedareas needingrehabilitation.",
05-Rural-Policy-Areas.txt,"REGIONALSTRATEGYPLAN - RURALPOLICYAREAS  the use and management of land in a manner that is sustainable and conducive to themaintenanceoffarmingoptions andopportunities inthefuture;  the protection and conservation of soils as an essential and irreplaceable natural resource;  the protection and management of native vegetation for its intrinsic values, as a fauna habitat and a valuable visual component of the rural landscape, and for its value for soil conservation, maintenance of water yields and quality and contributiontowards reducingtheGreenhouseEffect;  that all land use and development are compatible with the maintenance of rural landscapes, characterandatmosphere;  that all land use and management is carried out in a manner compatible with maintenance and improvement of water qualityand yields; and to ensure that the values identified on adjacent public and other land are not degraded by the off- siteeffects from rural land;  the protection, maintenance and enhancement of watercourses, wetlands, floodplains and drainage systems as essential components of water resource management andlandscapeandfaunal corridors as important aquatichabitat;  the rehabilitation of degraded watercourses and re-establishment of native riparianvegetationalongwatercourses andotherareas;  that the built environment, such as houses, buildings, structures, roads and other infrastructure, are sited and designed in a manner that complements the natural environment,and  the establishment of appropriate buffers between agricultural/rural and urban areas, to enable the exercising without conflict, of the right of farmers to farm theirland.",
05-Rural-Policy-Areas.txt,"Primary Purpose The primary purpose of the Rural Landscape 1 Policy Areas is toprovideforarange of farming uses and activities (including part time farming) compatible with land suitability, capability and subdivision patterns, to protect and maintain the remaining native vegetation, wildlife, water quality and to maintain and enhance landscape value andcharacter.",
05-Rural-Policy-Areas.txt, Development will not jeopardise the maintenance of any Site of Natural SignificanceorSiteofCultural significance.,
05-Rural-Policy-Areas.txt,"in area, except in the IntensiveAgriculture1PolicyAreawhereit must beinexcess of2ha;  was created in accordance with an approved Planning Scheme or Interim Development Order; 29.",
05-Rural-Policy-Areas.txt,"Other agricultural and rural activities include mixed farming and some part time farming, with an increasing presence of more intensiveagricultural activities suchas fruit andvegetablegrowingandviticulture.",
05-Rural-Policy-Areas.txt,"5.03 Regional Objectives Theregional objectives forRural PolicyAreas areto,whereappropriate,ensure:  the continuation of rural land uses primarilyforfarmingpurposes, andotheruses compatiblewithfarming; 24.",
05-Rural-Policy-Areas.txt,"Current rural land use demands, if not managed and controlled sensitively, could result in further alienation of productive agricultural land and deterioration and/or loss of environmental and landscapevalues.",
05-Rural-Policy-Areas.txt,"As in the Rural Landscape 1 Policy Area, the land in this Policy Area has been extensively subdivided.",
05-Rural-Policy-Areas.txt,Intensive Agricultural 2 Policy Areas Overview The Intensive Agricultural 2 Policy Area generally comprises red soil areas at Hoddles Creek.,
05-Rural-Policy-Areas.txt, Clearingofnativevegetationis minimised.,
05-Rural-Policy-Areas.txt," Where the land is an area identified as having a high risk of wildfire hazard, appropriate building design measures will be required to be undertaken to provideanacceptablelevel ofprotection.",
05-Rural-Policy-Areas.txt,"In any subdivision, access roads and development envelopes be located so that minimum earthworks are required, dominant landscape features such as ridgelines are free of development, and the maintenance of Sites of Natural Significance and Sites of Cultural Significanceis not jeopardised.",
05-Rural-Policy-Areas.txt,"The creation of the primary lot in a density matrix subdivision must cover the land which is most suitable for agricultural uses or which has the most significant environmental values, and the small lots created must be located to minimise intrusion intothelandscapeandwhereappropriate,begroupedtoavoidlineardevelopment.",
05-Rural-Policy-Areas.txt,"In order to ensure that native forests and plantations are managed for their timber and other values in a sustainable manner, any proposal to carry out forestry or timber productiononprivatelandmust demonstratethat:  the land contains suitable timber resources of known quantity or it has the potential toberegeneratedwithsuitablenativespecies;  timber harvesting can be carried out without detrimental effects to the area's soils, landscapeandwaterresources andtoits floraandfauna;  appropriate native species (which will not create environmental problems) will be planted and silvicultural and management techniques will be applied to regenerate the harvested areas and to maintain the forest resources in a sustainablemanner;  plantations will only be established on land previously cleared of native vegetationandwhichis currentlybeingusedforagricultureorotherpurposes;  floodplainmanagement areas will beexcluded,and  timber harvesting will be excluded from the land within 30 metres of any watercourse.",
05-Rural-Policy-Areas.txt,5.15 Protection of agricultural practices: The maintenance and enhancement of agricultural practices in Rural Policy areas must be encouraged.,
05-Rural-Policy-Areas.txt,"The lots however are generally larger than in Rural Landscape 1,withthemost commonsizebeingabout 16hectares.",
05-Rural-Policy-Areas.txt,In recent years the growingofgrapevines intheHoddles Creekareahas gainedsomeprominence.,
05-Rural-Policy-Areas.txt,"The predominant land use is grazing, withsomepart timefarmingandviticulture.",
05-Rural-Policy-Areas.txt,"Intensive Agriculture 1 Policy Areas Overview The Intensive Agriculture 1 Policy Area covers the Silvan and Monbulk areas, and is used extensively for intensive agriculture and cropping, with the main activities being productionofcut flowers, nurserystock,vegetables, bulbs, fruit andberries.",
05-Rural-Policy-Areas.txt,"5.20 Other policies applying to Rural Policy Areas In addition to the policies contained within this chapter, Township Policy Areas may also beaffectedbypolicies applyingto:  PublicLand  Management ofSites ofNatural SignificanceandofNativeVegetation  Management ofSites ofCultural Significance  PuffingBillyRailwayScenicCorridor  FloodplainManagement Areas; Special StudyAreas  HumanServices  Commercial Centres  ManufacturingandIndustry  Extractiveindustry,Mining&Soil Removal  RecreationandTourism  WaterResources  ServiceNetworks  Transport  FireManagement;  ScheduleOne-StatePlanningPolicies fortheRegion  Schedule Five - List of Environmental Weeds for the Upper Yarra Valley & DandenongRanges Region 35.",
05-Rural-Policy-Areas.txt," The purpose of the subdivision is to re-align a common boundary between two existing lots, where no additional lots will be created and where the re-alignment does not allow an increase in the number of houses that could be constructed on 33.",
05-Rural-Policy-Areas.txt," Where reticulated sewerage is not available, the site must be of sufficient size to enableproperon-sitetreatment anddisposal ofall wastes.",
05-Rural-Policy-Areas.txt,"Rural residential and urban related demands are particularlystrongin this areaandifnot managedproperly,will continueas threats tothearea's agricultural productivity.",
05-Rural-Policy-Areas.txt,It has lower agricultural values than the Rural 1 Policy Areas.,
05-Rural-Policy-Areas.txt,"5.12 Management of land for forestry and timber production The use or development of land for forestry in native forests, or for afforestation of native hardwood species must be on the basis of a proposal which contains a forest coupe plan, which addresses the matters contained in the Code of Forest Practice for TimberProductionandwhichspecifies:  coupelocationandcuttingareaboundaries;  methods of marking, cutting and removing wood and the estimated volume of woodtoberemoved;  wet weather and seasonal restrictions, and any other periods during which operations will limited;  areas excluded from harvesting to provide for flora and fauna protection under the Flora and Fauna Guarantee Act 1988, water quality protection, landscape protection,andsignificant sites;  protectionandrehabilitationofsoils;  location, design, construction, maintenance and closure of timber extraction roads; 31.",
05-Rural-Policy-Areas.txt,REGIONALSTRATEGYPLAN - RURALPOLICYAREAS practices necessary for successful operation of agricultural activities should be recognised.Suchpractices shouldhaveregardto:  Department ofAgricultureguidelines andrecommendations;  the diversityof agricultural pursuits and the uncertaintyof climatic conditions in theRegion;  thechangingtechnologyandconsumerpreferences foragricultural products;  theprimarypurposes oftheRural PolicyAreas; and  themaintenanceofenvironmental values.,
05-Rural-Policy-Areas.txt,"Primary Purpose The primary purpose of the Intensive Agriculture 2 Policy Area is to protect, maintain and enhance the red soil areas as a resource and to encourage the use of this land for broadscale intensive agricultural purposes, and where necessary, to discourage theuseoflandfornonagricultural purposes, whileprotectingthelandscapevalues.",
05-Rural-Policy-Areas.txt,The predominant land use is grazing.,
05-Rural-Policy-Areas.txt,Policies for Rural land based on further development and strengthening of the policies whichhavebeeninplacesincetheapproval oftheRegional StrategyPlanin1982.,
05-Rural-Policy-Areas.txt,"REGIONALSTRATEGYPLAN - RURALPOLICYAREAS use for intensive agricultural purposes, and where necessary to discourage the use of land for non agricultural purposes, while recognising the importance of the landscape values.",
05-Rural-Policy-Areas.txt,"5.18 Density matrix subdivision Planning schemes may provide for a density matrix subdivision technique, only within theRural 1,Rural 2andRural Landscape2PolicyAreas.",
05-Rural-Policy-Areas.txt,"Due to past subdivision of land in this area, the majorityof lots are in parcels of about 8 hectares.",
05-Rural-Policy-Areas.txt,"REGIONALSTRATEGYPLAN - RURALPOLICYAREAS 5.11 Forestry and timber production Forestry and timber production on private land with suitable native or other hardwood species, whether in plantations or in native forests, may be allowed subject to planning permit, provided that all activities including harvesting, roading, regeneration and fire protection are carried out in a manner compatible with the protection and maintenance of landscape values, water and soil resources, and maintenance of the integrityand long term conservationofanySites ofNatural SignificanceorSites ofCultural Significance.",
05-Rural-Policy-Areas.txt,REGIONALSTRATEGYPLAN - RURALPOLICYAREAS  Schedule Six - Exemptions to the policies or provisions under the Regional StrategyPlan 35a,
05-Rural-Policy-Areas.txt, The subdivision is for the excision of a lot of between 0.8 ha and 1.2 ha (exclusive of an access driveway of not more than 3 metres in width) from land which:  Contains two houses which have lawfully been established and neither of the houses were established as dwellings ancillaryto an existinghouse on thelandsuchas a‘dependent relativeunit’oran‘ancillarydwelling’;  Eachnewlot contains aoneoftheestablishedhouses.,
05-Rural-Policy-Areas.txt,"5.17 Subdivision Yields The yield of lots, and the maximum and minimum lot sizes (for other than density matrix subdivisions)must conform tothefollowingtable: Maximum& PolicyArea Averagelotyield Minimumlotsizes IntensiveAgriculture1 1lottoeach 8ha 6ha-14ha ofsitearea IntensiveAgriculture2 1lottoeach 20ha 15ha-35ha ofsitearea Rural 1 1lottoeach 25ha 18ha-44ha ofsitearea Rural 2 1lottoeach 40ha 30ha-70ha ofsitearea Rural Landscape1 1lottoeach 8ha 6ha-14ha ofsitearea Rural Landscape2 1lottoeach 16ha 12ha-28ha ofsitearea Rural Conservation 1lottoeach 40ha 30ha-70ha ofsitearea Despitetheseprovisions, planningapproval maybegrantedforasubdivisionwhere:  The lot to be created is required for apublicuseorpublicpurpose,bytheCrown, apublicauthorityoraCouncil.",
05-Rural-Policy-Areas.txt,"5.14 Landscape protection The protection, maintenance and enhancement of landscapes and landscape character in Rural PolicyAreas must beensured.",
05-Rural-Policy-Areas.txt,"5.08 Tenement provisions Within Rural Policy Areas a tenement holding control must be introduced (or maintained) in the former Shires of Sherbrooke and Lillydale, so that development of a housewill onlyoccuronalot orparcel oflandwhichsatisfies oneofthefollowing:  is part of a tenement holding and is in excess of 4 ha.",
05-Rural-Policy-Areas.txt,REGIONALSTRATEGYPLAN - RURALPOLICYAREAS the land beyond that permitted by the planning scheme prior to the subdivision takingplace.,
05-Rural-Policy-Areas.txt,Rural Landscape 1 Policy Area Overview The Rural Landscape 1 Policy Area generally comprises the land located between the Lysterfield Lake Park and Cardinia Reservoirandextendingnortheasterlytoincludethe rural portions ofMonbulkandtheeasternfoothills oftheDandenongRanges.,
05-Rural-Policy-Areas.txt,"Most land in this Policy Area is significant environmentally, for its flora, fauna, water protection and for its significant landscape values.",
05-Rural-Policy-Areas.txt,"Where a densitymatrix provision is to be provided, it must specifythat there be a single primary lot, with the remaining lots being within the range of 3 hectares to 5 hectares.",
05-Rural-Policy-Areas.txt," The land is not subject to constraints to development, such as land instability, land liable to floodingor land withslopes of20%orgreater(unless whereslopes are greater than 20%, information has been provided that demonstrates that soil erosion will be minimised, landscape characteristics are protected or enhanced and the development and access to it can be appropriately located and land instabilitywill beminimised).",
05-Rural-Policy-Areas.txt,"5.05 Threats to the Primary Purposes of Rural Policy Areas The major threats to the primary purposes of Rural Policy Areas, particularly the objectiveofprovidingforthecontinuationofagricultural purposes, are:  thedemandforrural residential living;  thepressures forfurthersubdivision;  uses and developments not compatible with the protection and maintenance of rural landscapes; and  theinappropriateremoval ofnativevegetation.",
05-Rural-Policy-Areas.txt,Rural landscapes are one of the Region's greatest attributes and assets.,
05-Rural-Policy-Areas.txt,"REGIONALSTRATEGYPLAN - RURALPOLICYAREAS  the terrain characteristics of the site slope, watercourses, soil types and vegetation;  acontinuingpotential foranagricultural usetheland;  thephysical landscapecharacteristics anduseofadjacent land;  the long term conservation of any Sites of Natural Significance and/or Sites of Cultural Significanceaffectingtheland; and  the capacity of any land subject to land instability to be reasonably and safely usedforcontrolledandlimiteddevelopment.",
05-Rural-Policy-Areas.txt,This PolicyArea generallyfollows the valleys of the Yarra and Little Yarra Rivers andsomeoftheirtributaries.,
05-Rural-Policy-Areas.txt,"REGIONALSTRATEGYPLAN - RURALPOLICYAREAS Primary Purpose The primary purpose of the Rural Landscape 2 Policy Areas is toprovideforarange of farming uses and activities (including part time farming) compatible with land suitability, capability and subdivision patterns, to protect and maintain the remaining native vegetation, wildlife, water quality and to maintain and enhance landscape value andcharacter.",
05-Rural-Policy-Areas.txt,There are persistent and often conflicting land use pressures and demands being placed on the natural resources of the Rural Policy Areas.,
05-Rural-Policy-Areas.txt,"Soils are relatively poor, water scarce and the main agricultural activities are confined to part time farming, with some intensiveagricultural activities intheMonbulk area.",
05-Rural-Policy-Areas.txt,"REGIONALSTRATEGYPLAN - RURALPOLICYAREAS  consists oftheconsolidationofall parcels and/orlots withinatenement holding;  is a lot which existed as a separate tenement holding on the date specified in the relevant ShirePlanningScheme; or 5.09 Tenement anomaly provisions Despite the requirement for tenement provisions, a planning scheme may modify the tenement provisions as theyapplytospecificlots, providedthat it is demonstratedthat:  The modification will not prejudicetheprimarypurposeofthepolicyareawithin which the lots occur and that the wider objectives of tenement controls for the policy area are protected from incremental erosion and are maintained as a legitimate means of protecting the areas identified from inappropriate development.",
05-Rural-Policy-Areas.txt,"Inconsideringorcarryingout anyuses anddevelopments, it must beensuredthat:  visual and environmental values of landscapes in Rural Policy Areas are fully recognised,protectedandwherenecessaryenhanced;  all development is located so that it avoids prominent ridgelines, hill tops and visuallyexposedvalleys;  consideration is given to the use of non reflective surfaces or screen planting, and that the development is adequately set back from road frontages and access ways;  all development is designed and sited in a manner complementaryto its location, andcompatiblewithmaintenanceofcharacteroftheRural PolicyAreas;  all roads and access tracks are located, designed, constructed and landscaped in the manner compatible with maintenance of landscape values and character, and minimisationofsoil erosion;  all land use and development is managedandcontrolledtomaintainandenhance the visual amenity and the quality along the main roads and other access routes, andthat ribbondevelopment alongtheroads is strictlycontrolled,and  all use and development of land within landscapes ""Classified"" and ""Recorded"" by the National Trust of Australia (Victoria) will be carried out in a manner that is compatible with protection, maintenance and, where possible, enhancement of thelandscapecharacteroftheseareas.",
05-Rural-Policy-Areas.txt,Rural Conservation Policy Areas Overview The Rural Conservation Policy Area covers generally steep and forested land.,
05-Rural-Policy-Areas.txt,5.16 Subdivision policies for Rural Policy Areas Subdivision in Rural Policy Areas must be managed in accordance with the primary purposeforeachPolicyAreaandtheregional goal andobjectives.,
05-Rural-Policy-Areas.txt,"A combination of mild climate, high and well distributed rainfall and a variety of good soils has led to the establishment of many and varied agricultural activities, some of whichareofregional andStateimportance.",
05-Rural-Policy-Areas.txt,"REGIONALSTRATEGYPLAN - RURALPOLICYAREAS 5.07 Construction of buildings The construction of buildings (including houses and farm buildings) in Rural Policy Areas must be carried out in a manner that is compatible with the maintenance of rural and agricultural land uses, protection and, where possible, enhancement of landscape values, water resources, indigenous flora and fauna (and their habitat) and the provision ofacceptablestandards ofresidential health,safetyandamenity.",
05-Rural-Policy-Areas.txt,"Primary Purpose The primary purpose of the Rural 1 Policy Areas is to maintain and protect its soils and water resources for a variety of broadscale agricultural and rural activities, to control land use and land management activities in a manner conducive to the maintenance of landscape character, and to protect and enhance the remaining areas of nativevegetation,protect thenativefaunaandmaintainandimprovewaterquality.",
05-Rural-Policy-Areas.txt,5.04 Rural Policy Areas - Description and Primary Purposes Thelocationandextent ofall Rural PolicyAreas is shownon Map Series 1.,
06-Public-Land-Policies.txt,REGIONALSTRATEGYPLAN - PUBLICLANDPOLICIES 6.,
06-Public-Land-Policies.txt,PUBLIC LAND POLICIES 6.01 Regional Overview Public Land comprises approximately 70% of the Upper Yarra Valley & Dandenong Ranges Region.,
06-Public-Land-Policies.txt,"Most of this Public Land is in the forested, mountainous eastern part of the Region, but is also scattered throughout the settled western areas, particularlywithin the Dandenong Ranges.",
06-Public-Land-Policies.txt,"The Public Land presence dramatically affects the Region, becauseofits sizeandlocationandbecauseoftheresources it contains.",
06-Public-Land-Policies.txt,"The resources of Public Land in the Region have values for water and timber production, flora and fauna conservation, tourism and recreation, landscape protection andmany otherminoruses.",
06-Public-Land-Policies.txt,"6.02 Responsibility for Public Land Management The primary responsibility for management of Public Land in the Region lies with the Department of Conservation and Natural Resources, Melbourne Parks & Water and Melbourne Water.",
06-Public-Land-Policies.txt,"Melbourne Water is responsible for the management of the Region's extensive water catchment areas, most of which are closed to public access.",
06-Public-Land-Policies.txt,"The Department of Conservation and Natural Resources has a broad public land management role, in the areas of national parks, soil conservation and land protection, conservation andforestry.",
06-Public-Land-Policies.txt,"6.03 Land Conservation Council Recognition must be given to the recommendations of the Land Conservation Council, that have been adopted byGovernment, particularlywith regard to those policies for the MelbourneArea,District 2,whichcovers all areas ofPublicLandwithintheRegion.",
06-Public-Land-Policies.txt,"The Land Conservation Council recommendations, once adopted by Government, will specify the range of land uses for Public Land within the Region and must be implementedintheRegionandnot beover-ruledbytheRegional StrategyPlan.",
06-Public-Land-Policies.txt,"6.04 Regional Objectives Theobjectives fortheRegion's PublicLands aretoensurethat:  PublicLandis managedinamannerconsistent withdecisions ofGovernment;  the use, development and management of all Public Land is consistent with the objective of seeking to enable increased protection for the special features and characteroftheRegion;  the longterm conservationofthenatural environment ofPublicLandis provided for,and  the renewable resources of Public Lands are managed in a way that provides for their sustainable use, and that non-renewable resources are used wisely, so that essential ecological processes andlifesupport systems aremaintained.",
06-Public-Land-Policies.txt,"REGIONALSTRATEGYPLAN - PUBLICLANDPOLICIES 6.05 Management of Public Land Public Land must be used and managed in accordance with State Planning Policies for the Region, recommendations of the Land Conservation Council which have been adopted by Government, and in a manner which is consistent with the Regional Objectives forPublicLand.",
06-Public-Land-Policies.txt,Thelocationandextent ofall PublicLand PolicyAreas is shownon Map Series 1.,
06-Public-Land-Policies.txt,"6.06 Public works and undertakings All works and undertakings carried out in the Region by a government department, public authorityor Council must be in conformitywith the Regional StrategyPlan.",
06-Public-Land-Policies.txt,The organisation proposing to carry out the works and undertakings must obtain written confirmation from the relevant council that theproposedworks orundertakings conform with the Regional Strategy Plan.,
06-Public-Land-Policies.txt,The Council may require that specified conditions must be met to ensure that the proposed works or undertakings conform with the Regional StrategyPlan.,
06-Public-Land-Policies.txt,"Disputes about conformity with the Regional Strategy Plan If there is a dispute with the Council about whether works and undertakings to be carried out by a government department, public authority or council are in conformity with the Regional Strategy Plan, the Premier will decide whether any works or undertakings mayproceed.",
06-Public-Land-Policies.txt,The Premier must seek the advice of the Minister administering the Planning and Environment Act before deciding whether the proposed works or undertakings conform withtheRegional StrategyPlanandwhetheranyconditions shouldbeimposed.,
06-Public-Land-Policies.txt,"6.07 Alienation of Crown Land There must be no further alienation of Crown land intheRegion,forprivatesale,except for rationalisation or management purposes or as provided for elsewhere in the Regional StrategyPlan.",
06-Public-Land-Policies.txt,"6.08 Disposal of surplus Public Land Surplus public land held by a Government Department, Public Authority or a Council must not be disposed of without an assessment of community, public open space, recreation, heritage and environmental/conservation needs, and which may include retainingthelandinpublicownershipforanalternativepublicuse.",
06-Public-Land-Policies.txt,"6.09 Road reserves, easements and linear reserves Remnant native vegetation, significant wildlife habitat and landscapes on linear reserves, including roadsides, stream frontages and railway (both used and disused) reserves must be protected and the revegetation of these areas with indigenous native species must beencouraged.",
06-Public-Land-Policies.txt,"REGIONALSTRATEGYPLAN - PUBLICLANDPOLICIES Unused road reserves or easements may only be alienated or leased where such road reserves or easements are not of special significance for nature conservation, recreation orotherpublicuse.",
